time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-07-12T17:47:37.080Z,19.4093342,-155.2803345,0.54,3.31,ml,30,28,0.009013,0.21,hv,hv70413047,2018-07-12T17:53:17.170Z,"5km WSW of Volcano, Hawaii",earthquake,0.18,0.15,2.38,15,automatic,hv,hv
2018-07-12T17:46:55.640Z,19.4171658,-155.276001,0.03,2.91,ml,36,38,0.007657,0.16,hv,hv70413042,2018-07-12T18:01:42.184Z,"4km WSW of Volcano, Hawaii",earthquake,0.15,0.16,3.2,33,automatic,hv,hv
2018-07-12T17:45:11.700Z,19.4211674,-155.2644958,1.06,1.9,md,15,74,0.003837,0.11,hv,hv70413037,2018-07-12T17:48:16.310Z,"3km WSW of Volcano, Hawaii",earthquake,0.28,0.15,0.17,5,automatic,hv,hv
2018-07-12T17:45:05.090Z,19.4216671,-155.2839966,1.05,2.24,ml,10,72,0.00393,0.15,hv,hv70413032,2018-07-12T17:50:48.930Z,"4km WSW of Volcano, Hawaii",earthquake,0.57,0.23,0.37,13,automatic,hv,hv
2018-07-12T17:41:23.810Z,19.3918343,-155.2688293,-0.4,2.95,ml,49,36,0.005745,0.34,hv,hv70413027,2018-07-12T17:58:47.757Z,"5km SW of Volcano, Hawaii",earthquake,0.24,0.13,3.19,32,automatic,hv,hv
2018-07-12T17:40:26.960Z,19.4283333,-155.2799988,0.38,2.66,ml,8,89,0.004223,0.12,hv,hv70413022,2018-07-12T17:46:11.020Z,"4km W of Volcano, Hawaii",earthquake,0.34,0.33,2.69,10,automatic,hv,hv
2018-07-12T17:40:13.540Z,19.3969994,-155.2666626,1.12,2.49,ml,22,75,0.001372,0.22,hv,hv70413017,2018-07-12T17:45:59.570Z,"4km SW of Volcano, Hawaii",earthquake,0.35,0.21,2.32,13,automatic,hv,hv
2018-07-12T17:38:03.130Z,19.3921661,-155.2491608,-1.06,2.09,ml,8,141,0.01703,0.31,hv,hv70413012,2018-07-12T17:43:45.390Z,"4km SSW of Volcano, Hawaii",earthquake,0.46,0.75,0.36,12,automatic,hv,hv
2018-07-12T17:36:42.580Z,19.4103336,-155.2763367,0.43,2,ml,16,60,0.01033,0.1,hv,hv70413007,2018-07-12T17:42:24.130Z,"4km WSW of Volcano, Hawaii",earthquake,0.15,0.18,0.24,6,automatic,hv,hv
2018-07-12T17:36:14.990Z,19.3929996,-155.2711639,1.25,2.17,ml,9,265,0.02176,0.11,hv,hv70413002,2018-07-12T17:41:58.150Z,"5km SW of Volcano, Hawaii",earthquake,0.68,0.34,0.51,11,automatic,hv,hv
2018-07-12T17:34:14.915Z,40.2816,-118.1461,15.5,1.7,ml,8,181.88,0.721,0.3287,nn,nn00644262,2018-07-12T17:46:13.713Z,"30km ENE of Lovelock, Nevada",explosion,,1.3,0.19,6,reviewed,nn,nn
2018-07-12T17:33:08.770Z,19.3683338,-155.4170074,26.99,2.17,ml,10,119,0.1258,0.36,hv,hv70412992,2018-07-12T17:38:49.630Z,"19km NNE of Pahala, Hawaii",earthquake,2.74,2.36,4.69,5,automatic,hv,hv
2018-07-12T17:33:04.930Z,19.4093342,-155.2649994,0.21,2.55,ml,40,27,0.005556,0.2,hv,hv70412997,2018-07-12T17:38:55.750Z,"3km SW of Volcano, Hawaii",earthquake,0.19,0.15,2.38,29,automatic,hv,hv
2018-07-12T17:32:29.920Z,19.4314995,-155.2868347,7.7,2.79,ml,10,284,0.01101,0.22,hv,hv70412987,2018-07-12T17:38:10.170Z,"5km W of Volcano, Hawaii",earthquake,3.33,1.04,2.17,22,automatic,hv,hv
2018-07-12T17:29:23.790Z,34.0111667,-117.5566667,7.33,0.91,ml,26,46,0.08675,0.35,ci,ci38219888,2018-07-12T17:33:11.534Z,"4km WNW of Mira Loma, CA",earthquake,0.64,1.48,0.237,25,automatic,ci,ci
2018-07-12T17:28:09.090Z,19.4115009,-155.2700043,1.08,1.73,ml,17,69,0.009576,0.11,hv,hv70412982,2018-07-12T17:33:51.150Z,"4km WSW of Volcano, Hawaii",earthquake,0.27,0.34,0.21,10,automatic,hv,hv
2018-07-12T17:26:58.020Z,19.4061661,-155.2678375,1.63,1.87,md,9,144,0.008065,0.24,hv,hv70412977,2018-07-12T17:32:40.530Z,"4km SW of Volcano, Hawaii",earthquake,0.84,0.42,0.21,5,automatic,hv,hv
2018-07-12T17:25:01.990Z,19.4248333,-155.2648315,1.36,1.8,md,10,132,0.003496,0.12,hv,hv70412972,2018-07-12T17:30:44.310Z,"2km WSW of Volcano, Hawaii",earthquake,0.4,0.49,0.45,8,automatic,hv,hv
2018-07-12T17:20:59.240Z,19.4103336,-155.2618408,1.28,2.57,ml,24,56,0.002545,0.12,hv,hv70412962,2018-07-12T17:26:47.970Z,"3km SW of Volcano, Hawaii",earthquake,0.31,0.21,0.43,18,automatic,hv,hv
2018-07-12T17:20:52.690Z,19.4029999,-155.2641602,0.86,2.59,ml,7,236,0.005052,0.12,hv,hv70412957,2018-07-12T17:26:34.030Z,"4km SW of Volcano, Hawaii",earthquake,0.62,0.31,0.54,16,automatic,hv,hv
2018-07-12T17:18:07.380Z,19.4088326,-155.2818298,0.23,2.07,md,11,238,0.01263,0.26,hv,hv70412952,2018-07-12T17:21:15.260Z,"5km WSW of Volcano, Hawaii",earthquake,1.36,0.64,0.04,3,automatic,hv,hv
2018-07-12T17:18:00.160Z,19.4190006,-155.2595062,0.18,2.46,ml,15,134,0.004237,0.23,hv,hv70412947,2018-07-12T17:23:42.610Z,"2km WSW of Volcano, Hawaii",earthquake,0.38,0.2,2.14,16,automatic,hv,hv
2018-07-12T17:16:25.920Z,19.4203339,-155.2626648,0.07,2.76,ml,34,61,0.003143,0.3,hv,hv70412942,2018-07-12T17:22:07.090Z,"2km WSW of Volcano, Hawaii",earthquake,0.27,0.17,0.4,21,automatic,hv,hv
2018-07-12T17:14:23.820Z,33.4886667,-116.7936667,6.39,0.53,ml,21,48,0.02429,0.18,ci,ci38219864,2018-07-12T17:18:00.620Z,"8km NE of Aguanga, CA",earthquake,0.31,0.86,0.087,14,automatic,ci,ci
2018-07-12T17:12:52.340Z,19.4190006,-155.2779999,0.05,2.82,ml,27,40,0.005743,0.26,hv,hv70412937,2018-07-12T17:24:45.713Z,"4km WSW of Volcano, Hawaii",earthquake,0.23,0.18,1.99,25,automatic,hv,hv
2018-07-12T17:12:17.290Z,19.3898335,-155.2676697,1.21,2.96,ml,27,82,0.007881,0.25,hv,hv70412932,2018-07-12T17:17:57.350Z,"5km SW of Volcano, Hawaii",earthquake,0.35,0.3,0.63,21,automatic,hv,hv
2018-07-12T17:11:59.140Z,19.4081669,-155.2798309,-0.18,2.5,ml,19,45,0.01027,0.18,hv,hv70412927,2018-07-12T17:17:41.040Z,"5km WSW of Volcano, Hawaii",earthquake,0.17,0.28,0.3,19,automatic,hv,hv
2018-07-12T17:11:49.170Z,34.8033333,-116.2838333,4.91,2.14,ml,22,67,0.04948,0.16,ci,ci38219856,2018-07-12T17:36:52.180Z,"14km NW of Ludlow, CA",earthquake,0.28,0.58,0.204,25,automatic,ci,ci
2018-07-12T17:09:36.630Z,19.4061661,-155.2598267,0.63,2.24,ml,24,107,0.00589,0.24,hv,hv70412922,2018-07-12T17:28:58.927Z,"3km SW of Volcano, Hawaii",earthquake,0.3,0.26,0.4,15,automatic,hv,hv
2018-07-12T17:07:49.750Z,19.4093342,-155.2783356,0.64,2.03,ml,31,40,0.00991,0.24,hv,hv70412917,2018-07-12T17:13:30.970Z,"4km WSW of Volcano, Hawaii",earthquake,0.28,0.18,0.28,16,automatic,hv,hv
2018-07-12T17:05:55.830Z,19.4081669,-155.2810059,0.48,1.96,md,19,45,0.009886,0.15,hv,hv70412907,2018-07-12T17:27:01.778Z,"5km WSW of Volcano, Hawaii",earthquake,0.18,0.27,0.32,15,automatic,hv,hv
2018-07-12T17:05:55.200Z,19.4004993,-155.2091675,6.66,2.04,ml,11,287,0.04923,0.37,hv,hv70412912,2018-07-12T17:11:44.070Z,"4km SE of Volcano, Hawaii",earthquake,2.76,2.6,0.32,8,automatic,hv,hv
2018-07-12T17:04:31.970Z,37.5603333,-118.8488333,7.95,1.57,md,26,104,0.03353,0.03,nc,nc73043966,2018-07-12T18:01:02.930Z,"14km SE of Mammoth Lakes, CA",earthquake,0.27,0.55,0.271,25,reviewed,nc,nc
2018-07-12T17:01:56.690Z,19.395834,-155.280838,0.78,2.04,ml,23,40,0.006807,0.25,hv,hv70412902,2018-07-12T17:14:57.423Z,"5km SW of Volcano, Hawaii",earthquake,0.26,0.29,0.24,14,automatic,hv,hv
2018-07-12T16:59:01.370Z,19.4088326,-155.2669983,0.82,1.86,ml,22,44,0.007461,0.13,hv,hv70412892,2018-07-12T17:04:40.650Z,"3km SW of Volcano, Hawaii",earthquake,0.24,0.26,0.24,11,automatic,hv,hv
2018-07-12T16:57:47.960Z,60.1635,-141.099,0,1.7,ml,,,,0.81,ak,ak19859665,2018-07-12T17:02:20.820Z,"74km E of Cape Yakataga, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-07-12T16:55:57.400Z,19.4116669,-155.2751617,0.95,1.88,ml,22,43,0.01033,0.17,hv,hv70412882,2018-07-12T17:01:39.340Z,"4km WSW of Volcano, Hawaii",earthquake,0.18,0.19,0.29,10,automatic,hv,hv
2018-07-12T16:52:31.190Z,19.4088326,-155.2725067,-0.62,2.96,ml,45,36,0.01218,0.37,hv,hv70412877,2018-07-12T17:15:39.510Z,"4km SW of Volcano, Hawaii",earthquake,0.26,0.24,2.83,32,automatic,hv,hv
2018-07-12T16:52:20.180Z,19.4186668,-155.2701721,0.86,2.96,ml,25,60,0.008691,0.16,hv,hv70412872,2018-07-12T17:13:53.592Z,"3km WSW of Volcano, Hawaii",earthquake,0.19,0.16,2.76,34,automatic,hv,hv
2018-07-12T16:51:22.390Z,19.4143333,-155.2628326,0.75,2.24,ml,20,91,0.003574,0.17,hv,hv70412867,2018-07-12T16:57:03.820Z,"3km SW of Volcano, Hawaii",earthquake,0.27,0.17,0.26,11,automatic,hv,hv
2018-07-12T16:48:16.580Z,19.3976669,-155.3013306,0.91,2.87,ml,8,113,0.008997,0.16,hv,hv70412862,2018-07-12T17:14:18.344Z,"7km WSW of Volcano, Hawaii",earthquake,0.74,0.4,0.15,6,automatic,hv,hv
2018-07-12T16:47:28.410Z,19.4146671,-155.2653351,-0.36,2.66,ml,32,54,0.005756,0.36,hv,hv70412857,2018-07-12T17:02:50.534Z,"3km WSW of Volcano, Hawaii",earthquake,0.32,0.27,2.06,22,automatic,hv,hv
2018-07-12T16:45:38.200Z,19.4273338,-155.2803345,-0.01,2.95,ml,13,87,0.003647,0.19,hv,hv70412852,2018-07-12T17:14:42.096Z,"4km W of Volcano, Hawaii",earthquake,0.36,0.19,0.37,19,automatic,hv,hv
2018-07-12T16:45:13.440Z,19.4173336,-155.2584991,0.75,2.69,ml,25,66,0.005379,0.23,hv,hv70412847,2018-07-12T16:58:09.387Z,"2km SW of Volcano, Hawaii",earthquake,0.23,0.27,0.47,22,automatic,hv,hv
2018-07-12T16:42:20.110Z,19.3988342,-155.2728271,-0.2,3.16,ml,50,32,0.003533,0.32,hv,hv70412842,2018-07-12T17:24:30.040Z,"5km SW of Volcano, Hawaii",earthquake,0.21,0.18,3.35,37,automatic,hv,hv
2018-07-12T16:41:08.190Z,19.3858337,-155.2723389,0.65,2.07,ml,9,126,0.008878,0.15,hv,hv70412837,2018-07-12T16:53:15.847Z,"6km SW of Volcano, Hawaii",earthquake,0.38,0.42,2.22,12,automatic,hv,hv
2018-07-12T16:40:39.210Z,62.7048,-149.917,76.2,1.5,ml,,,,0.59,ak,ak19859663,2018-07-12T16:45:23.223Z,"43km NNE of Talkeetna, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-07-12T16:40:13.500Z,33.5128333,-116.5105,10.4,0.63,ml,19,81,0.04773,0.27,ci,ci38219816,2018-07-12T16:43:40.765Z,"16km ESE of Anza, CA",earthquake,0.52,0.74,0.228,16,automatic,ci,ci
2018-07-12T16:37:17.180Z,19.4076672,-155.2798309,0.4,2.22,ml,27,29,0.01073,0.18,hv,hv70412822,2018-07-12T16:42:57.760Z,"5km WSW of Volcano, Hawaii",earthquake,0.15,0.18,0.33,14,automatic,hv,hv
2018-07-12T16:36:03.650Z,19.390667,-155.2821655,-0.09,2.02,ml,16,74,0.004135,0.14,hv,hv70412817,2018-07-12T16:41:43.550Z,"6km SW of Volcano, Hawaii",earthquake,0.18,0.18,0.19,6,automatic,hv,hv
2018-07-12T16:35:27.000Z,19.4316673,-155.2676697,1.62,2.01,ml,9,259,0.004565,0.18,hv,hv70412812,2018-07-12T16:41:07.670Z,"3km W of Volcano, Hawaii",earthquake,0.79,0.64,0.44,11,automatic,hv,hv
2018-07-12T16:33:04.090Z,19.3928337,-155.2841644,-0.08,2.1,ml,17,45,0.006682,0.16,hv,hv70412807,2018-07-12T16:48:44.567Z,"6km SW of Volcano, Hawaii",earthquake,0.15,0.18,0.25,13,automatic,hv,hv
2018-07-12T16:31:43.740Z,19.4185009,-155.2640076,0.05,2.13,ml,22,82,0.005361,0.16,hv,hv70412802,2018-07-12T16:55:27.617Z,"3km WSW of Volcano, Hawaii",earthquake,0.23,0.19,0.29,13,automatic,hv,hv
2018-07-12T16:29:11.710Z,19.4095001,-155.272171,1.33,1.89,md,12,101,0.01189,0.25,hv,hv70412797,2018-07-12T16:32:09.840Z,"4km WSW of Volcano, Hawaii",earthquake,0.5,0.85,0.13,8,automatic,hv,hv
2018-07-12T16:28:09.600Z,33.4998333,-116.7895,4.61,0.5,ml,23,45,0.01544,0.18,ci,ci38219792,2018-07-12T16:57:21.020Z,"9km NE of Aguanga, CA",earthquake,0.32,0.56,0.153,13,reviewed,ci,ci
2018-07-12T16:28:05.186Z,58.5966,-153.3882,69,1.4,ml,,,,0.35,ak,ak19859662,2018-07-12T17:35:16.574Z,"103km NNW of Kodiak Station, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2018-07-12T16:26:24.890Z,19.4006672,-155.2836609,0.49,2.15,ml,25,36,0.01083,0.23,hv,hv70412792,2018-07-12T16:32:07.750Z,"5km SW of Volcano, Hawaii",earthquake,0.18,0.23,0.3,14,automatic,hv,hv
2018-07-12T16:25:40.706Z,62.5485,-148.9253,3.2,1.7,ml,,,,0.72,ak,ak19859659,2018-07-12T16:29:55.424Z,"64km NE of Y, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-07-12T16:25:10.400Z,19.423666,-155.2606659,0.85,1.89,ml,9,202,0.0006771,0.09,hv,hv70412787,2018-07-12T16:38:16.704Z,"2km WSW of Volcano, Hawaii",earthquake,0.44,0.22,0.27,9,automatic,hv,hv
2018-07-12T16:23:54.810Z,19.435833,-155.2480011,1.34,2.19,ml,8,199,0.02615,0.22,hv,hv70412782,2018-07-12T16:29:34.720Z,"1km WNW of Volcano, Hawaii",earthquake,1.35,1.43,0.26,10,automatic,hv,hv
2018-07-12T16:23:12.407Z,62.2829,-149.8995,16,1.1,ml,,,,0.41,ak,ak19859658,2018-07-12T16:26:33.614Z,"11km ESE of Talkeetna, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-07-12T16:22:38.420Z,19.4013329,-155.2758331,0.34,2.53,ml,28,48,0.006284,0.28,hv,hv70412777,2018-07-12T16:57:07.934Z,"5km SW of Volcano, Hawaii",earthquake,0.22,0.32,0.35,15,automatic,hv,hv
2018-07-12T16:21:52.640Z,33.7598333,-117.5381667,8.65,1.25,ml,23,76,0.06883,0.25,ci,ci38219776,2018-07-12T16:25:27.384Z,"12km NNE of Trabuco Canyon, CA",earthquake,0.41,0.96,0.307,29,automatic,ci,ci
2018-07-12T16:19:54.380Z,19.4023342,-155.2581635,0.06,2.64,ml,29,112,0.00847,0.27,hv,hv70412772,2018-07-12T16:57:30.598Z,"3km SW of Volcano, Hawaii",earthquake,0.27,0.24,0.47,19,automatic,hv,hv
2018-07-12T16:19:33.780Z,19.4214993,-155.280838,0.78,2.44,ml,11,106,0.004468,0.12,hv,hv70412767,2018-07-12T16:25:16.480Z,"4km WSW of Volcano, Hawaii",earthquake,0.49,0.23,0.41,19,automatic,hv,hv
2018-07-12T16:17:30.660Z,37.717,-118.7753333,6.5,0.72,md,16,124,0.04961,0.03,nc,nc73043926,2018-07-12T17:02:13.502Z,"19km NNW of Toms Place, CA",earthquake,0.43,0.97,0.094,14,reviewed,nc,nc
2018-07-12T16:17:18.920Z,19.3990002,-155.2749939,1.17,2.89,ml,22,48,0.003832,0.15,hv,hv70412762,2018-07-12T16:23:02.450Z,"5km SW of Volcano, Hawaii",earthquake,0.24,0.23,0.24,14,automatic,hv,hv
2018-07-12T16:16:22.810Z,19.395834,-155.2828369,-0.15,2.51,ml,24,41,0.008691,0.18,hv,hv70412757,2018-07-12T16:22:05.240Z,"6km SW of Volcano, Hawaii",earthquake,0.17,0.22,0.34,20,automatic,hv,hv
2018-07-12T16:14:02.270Z,19.3575001,-155.2234955,2.46,1.98,ml,8,189,0.01787,0.09,hv,hv70412752,2018-07-12T16:35:39.633Z,"8km S of Volcano, Hawaii",earthquake,1.11,0.69,0.46,7,automatic,hv,hv
2018-07-12T16:12:44.700Z,19.395834,-155.260498,-0.75,2.55,ml,22,50,0.005747,0.31,hv,hv70412747,2018-07-12T16:54:30.127Z,"4km SSW of Volcano, Hawaii",earthquake,0.32,0.29,0.44,15,automatic,hv,hv
2018-07-12T16:10:11.160Z,19.4004993,-155.2788391,-0.19,2.71,ml,30,35,0.007079,0.23,hv,hv70412742,2018-07-12T16:15:57.300Z,"5km SW of Volcano, Hawaii",earthquake,0.17,0.22,0.39,21,automatic,hv,hv
2018-07-12T16:10:09.530Z,33.8376667,-117.5155,2.09,1.69,ml,50,75,0.06206,0.24,ci,ci38219768,2018-07-12T16:13:45.490Z,"4km S of Home Gardens, CA",quarry blast,0.37,0.63,0.166,27,automatic,ci,ci
2018-07-12T16:07:14.690Z,19.3955002,-155.2709961,0.18,3.26,ml,41,37,0.002502,0.27,hv,hv70412737,2018-07-12T17:17:57.040Z,"5km SW of Volcano, Hawaii",earthquake,0.18,0.19,2.86,32,automatic,hv,hv
2018-07-12T16:06:40.570Z,38.7861671,-122.7501678,0.19,1.03,md,12,104,0.01091,0.03,nc,nc73043911,2018-07-12T16:08:14.895Z,"1km NNE of The Geysers, CA",earthquake,0.22,0.58,0.14,3,automatic,nc,nc
2018-07-12T16:06:29.200Z,36.037,-117.9771667,4.32,0.83,ml,14,182,0.07616,0.12,ci,ci38219760,2018-07-12T16:56:17.749Z,"3km WSW of Coso Junction, CA",earthquake,0.39,0.8,0.268,8,reviewed,ci,ci
2018-07-12T16:05:54.360Z,19.4116669,-155.2831726,1,2.94,ml,20,77,0.006027,0.19,hv,hv70412732,2018-07-12T16:54:08.853Z,"5km WSW of Volcano, Hawaii",earthquake,0.43,0.2,0.28,14,automatic,hv,hv
2018-07-12T16:02:52.270Z,19.4121666,-155.2806702,1.14,3.88,ml,37,46,0.006352,0.32,hv,hv70412727,2018-07-12T18:08:52.751Z,"4km WSW of Volcano, Hawaii",earthquake,0.35,0.2,4.58,18,automatic,hv,hv
2018-07-12T16:02:36.700Z,19.4144993,-155.2623291,0.34,3.94,ml,57,36,0.003334,0.24,hv,hv70412722,2018-07-12T18:08:46.362Z,"3km SW of Volcano, Hawaii",earthquake,0.24,0.14,4.05,35,automatic,hv,hv
2018-07-12T16:01:47.450Z,19.3978329,-155.2619934,0.16,2.64,ml,21,87,0.003834,0.21,hv,hv70412717,2018-07-12T16:13:59.410Z,"4km SW of Volcano, Hawaii",earthquake,0.21,0.26,0.43,7,automatic,hv,hv
2018-07-12T15:59:37.090Z,19.4133339,-155.2756653,0.45,2.87,ml,36,39,0.009048,0.33,hv,hv70412712,2018-07-12T16:05:19.990Z,"4km WSW of Volcano, Hawaii",earthquake,0.32,0.24,2.79,33,automatic,hv,hv
2018-07-12T15:59:09.060Z,33.4956667,-116.7911667,4.64,0.37,ml,16,47,0.08284,0.18,ci,ci38219752,2018-07-12T16:56:35.662Z,"9km NE of Aguanga, CA",earthquake,0.3,0.71,0.13,11,reviewed,ci,ci
2018-07-12T15:57:34.180Z,19.4225006,-155.2908325,0.83,2.35,ml,19,66,0.001552,0.15,hv,hv70412707,2018-07-12T16:10:51.646Z,"5km W of Volcano, Hawaii",earthquake,0.35,0.16,0.28,15,automatic,hv,hv
2018-07-12T15:56:08.680Z,19.4009991,-155.2929993,0.92,2.48,ml,30,42,0.008662,0.16,hv,hv70412702,2018-07-12T16:01:49.710Z,"6km WSW of Volcano, Hawaii",earthquake,0.19,0.18,0.28,15,automatic,hv,hv
2018-07-12T15:55:49.255Z,65.8353,-150.3561,0,1.4,ml,,,,0.65,ak,ak19859656,2018-07-12T15:59:43.430Z,"93km N of Manley Hot Springs, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-07-12T15:55:40.640Z,19.4043331,-155.289505,1.37,2.48,ml,12,104,0.01017,0.14,hv,hv70412697,2018-07-12T16:01:23.800Z,"6km WSW of Volcano, Hawaii",earthquake,0.26,0.28,0.28,15,automatic,hv,hv
2018-07-12T15:55:14.890Z,19.4051666,-155.2474976,-0.32,2.22,ml,16,134,0.01356,0.38,hv,hv70412692,2018-07-12T16:10:36.377Z,"3km SSW of Volcano, Hawaii",earthquake,0.53,0.58,0.45,11,automatic,hv,hv
2018-07-12T15:50:28.220Z,35.2273333,-117.1883333,3.24,2.12,ml,22,93,0.1867,0.13,ci,ci38219744,2018-07-12T17:15:17.981Z,"40km NNW of Barstow, CA",earthquake,0.23,1.3,0.143,26,automatic,ci,ci
2018-07-12T15:50:01.690Z,19.3971672,-155.2754974,1.46,2.56,ml,24,61,0.002503,0.12,hv,hv70412682,2018-07-12T16:17:50.789Z,"5km SW of Volcano, Hawaii",earthquake,0.28,0.21,0.31,17,automatic,hv,hv
2018-07-12T15:49:18.850Z,19.399334,-155.2726593,0.66,2.38,ml,8,107,0.006349,0.12,hv,hv70412677,2018-07-12T16:10:21.276Z,"5km SW of Volcano, Hawaii",earthquake,0.54,0.38,0.3,16,automatic,hv,hv
2018-07-12T15:47:11.870Z,19.4016666,-155.2611694,0.31,1.97,ml,22,97,0.005716,0.27,hv,hv70412667,2018-07-12T15:52:52.860Z,"4km SW of Volcano, Hawaii",earthquake,0.2,0.19,0.46,11,automatic,hv,hv
2018-07-12T15:45:22.430Z,38.7965012,-122.7365036,0.95,1.17,md,12,67,0.01325,0.05,nc,nc73043901,2018-07-12T17:05:02.228Z,"3km NE of The Geysers, CA",earthquake,0.27,0.55,0.04,4,automatic,nc,nc
2018-07-12T15:44:36.230Z,19.4038334,-155.2911682,0.41,2.19,ml,22,40,0.00879,0.15,hv,hv70412662,2018-07-12T16:17:06.121Z,"6km WSW of Volcano, Hawaii",earthquake,0.15,0.14,0.32,14,automatic,hv,hv
2018-07-12T15:42:29.740Z,19.4158325,-155.2565002,0.92,2,ml,14,134,0.004903,0.19,hv,hv70412657,2018-07-12T15:48:10.090Z,"2km SW of Volcano, Hawaii",earthquake,0.33,0.41,0.35,9,automatic,hv,hv
2018-07-12T15:40:31.630Z,19.4025002,-155.2628326,0.09,2.65,ml,31,45,0.005202,0.26,hv,hv70412652,2018-07-12T15:46:11.770Z,"4km SW of Volcano, Hawaii",earthquake,0.22,0.26,0.48,16,automatic,hv,hv
2018-07-12T15:38:56.450Z,19.4559994,-155.2613373,9.49,2.67,ml,8,250,0.01386,0.31,hv,hv70412647,2018-07-12T15:44:36.390Z,"3km NW of Volcano, Hawaii",earthquake,4.84,1.9,0.46,11,automatic,hv,hv
2018-07-12T15:36:26.210Z,19.4078331,-155.3106689,-0.86,2.39,md,10,97,0.01014,0.17,hv,hv70412632,2018-07-12T15:39:21.470Z,"8km WSW of Volcano, Hawaii",earthquake,0.34,0.23,0.67,5,automatic,hv,hv
2018-07-12T15:35:13.350Z,19.4090004,-155.245163,-1.08,2.74,ml,12,141,0.01422,0.19,hv,hv70412627,2018-07-12T15:40:52.080Z,"2km SSW of Volcano, Hawaii",earthquake,0.29,0.35,0.38,13,automatic,hv,hv
2018-07-12T15:34:02.280Z,19.4029999,-155.2924957,0.94,2.59,ml,17,66,0.007952,0.29,hv,hv70412622,2018-07-12T16:53:36.283Z,"6km WSW of Volcano, Hawaii",earthquake,0.36,0.25,0.36,21,automatic,hv,hv
